ID,WorkType,Type,Filepath,location
40105,KP Government Announced to Celebrate Ashara Shani Rehmat-ul-Alamin,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-prmotion-of-tourism-in-kp-840x566-840x620.png,Khyber Pakhtunkhwa,
40106,Weekly Review Meeting of The Department,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-6th-pdwp-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40107,Promotion of Tourism in Khyber Pakhtunkhwa,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-review-meeting-on-high-prioirty-projects-840x620-840x620.png,Khyber Pakhtunkhwa,
40108,6th PDWP Held on 12th October 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/expo2-840x521-840x620.jpeg,Khyber Pakhtunkhwa,
40109,Review Meeting on High Priority Development Projects,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/worldbank-pnd-banner-840x500-840x620.png,Khyber Pakhtunkhwa,
40110,Meeting on Arrangement and Preparation for Dubai Expo,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-economic-transformation-project-840x620-840x620.png,Khyber Pakhtunkhwa,
40111,Mr. Najy Benhassine Met Minister Finance & Health and ACS KP at P&D Department,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-cities-improvement-project-840x620.jpg,Khyber Pakhtunkhwa,
40112,KP Government Approved Economic Development Plan for Province,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/karak-840x620.jpg,Khyber Pakhtunkhwa,
40113,KP Government Approved Cities Improvement Project From CDWP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-kppa-adp-session-840x419-840x620.png,Khyber Pakhtunkhwa,
40114,KP Government has Approved 559 Community-Based Development Projects for Karak District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-peshawar-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40115,Information Session on The Preparation and Implementation of ADP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-cycle-race-840x491-840x620.png,Khyber Pakhtunkhwa,
40116,Meeting on Mega Projects in Provincial Capital Peshawar,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/northern-bypass-840x614-840x620.jpg,Khyber Pakhtunkhwa,
40117,Cycle Race in Orakzai District,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/banner-dubai-expro-preparation-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40118,Work on The Remaining Sections of Peshawar Northern Bypass Continues,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2020/12/pdwp-840x545-840x620.jpg,Khyber Pakhtunkhwa,
40119,KP Government Sought Suggestions from Private Sector for Dubai Expo,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/green-pakistan-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40120,5th PDWP Held on 27th September 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/banner-project-digital-tracking-system-840x522-840x620.jpg,Khyber Pakhtunkhwa,
40121,KP Government Took a Revolutionary Step Under Prime Minister Imran Khan’s Green Pakistan Vision,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/1-5-840x620.jpg,Khyber Pakhtunkhwa,
40122,KP Government Introduced Strategy for Timely Completion of Development Projects,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/Agriculture-Reform-Plan-840x431-840x620.jpg,Khyber Pakhtunkhwa,
40123,Various Beautification and Uplift Schemes Completed in Bannu,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/dikhan-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40124,KP Government Approved Three Projects under the Agriculture Reform Plan,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2020/12/pdwp-840x545-840x620.jpg,Khyber Pakhtunkhwa,
40125,ECNEC Formally Approved Peshawar-D.I.Khan and Dir Moterway,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/banner-digitization-of-governance-840x564-840x620.jpg,Khyber Pakhtunkhwa,
40126,PDWP Approved 35 Schemes Worth Over 13 Billion PKR,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/banner-work-on-various-canal-roads-in-peshawar-840x352-840x620.jpg,Khyber Pakhtunkhwa,
40127,Meeting on Digitization of Government System,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/banner-sdg-840x542-840x620.jpg,Khyber Pakhtunkhwa,
40128,Construction Work on Various Canal Roads in Peshawar Has Been Started,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/banner-PIM-840x620.jpg,Khyber Pakhtunkhwa,
40129,SDG Unite of P&D Department Organized Awareness Session on Provincial SDG Framework,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/Peshawar_Banner-840x450-840x620.jpg,Khyber Pakhtunkhwa,
40130,Meeting on Public Investment Management,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/digital-tracking-and-monitoring-system-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40131,Promotion of Economic Activities in the Urban Centers and Bazaars of Integrated Districts,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/09/banner-wrokshop-on-adp-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40132,Meeting on Development Projects Tracking and Monitoring System,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/peshawarrevivalplan-840x311-840x620.jpg,Khyber Pakhtunkhwa,
40133,Workshop on the Preparation of Annual Development Programme,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-divisional-headquarters-840x620.jpg,Khyber Pakhtunkhwa,
40134,Meeting on Peshawar Revival Plan,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-acs-kp-wfp-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40135,Review Meeting on the Beautification and Uplift of Divisional Headquarters of KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/various-roads-development-projects-banner-840x400-840x620.jpg,Khyber Pakhtunkhwa,
40136,ACS KP Met WFP Country Director Mr.Chris Kaye at P&D Department,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-gpp-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40137,KP Government Approved Various Development Projects,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-mdtf-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40138,P&D Acquired With The  Help of GPP Equipment for District GIS Cell,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/dubaiexpo-840x620-840x620.png,Khyber Pakhtunkhwa,
40139,Advisory Committee Meeting of the Multi-Donor Trust Fund (MDTF),Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-ring-road-improvement-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40140,KP Government Started Preparation for Dubai Expo,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/08/banner-acs-kp-visited-pak-chine-window-center-840x620-840x620.png,Khyber Pakhtunkhwa,
